projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49662;08.08.1999;49662_00__1;1999;220;08.08.1999;false;2.027580;271;04.10.1998;277;12.07.1999;193;NULL;NULL;08.08.1999;220;08.08.1999;13.493492;12.045754;1.565089;6.752121;20.164071;6.722821;1.800000;1.800000;546.500000;3983.399000;14.184595;5.488378;0.742130;0.975533;0.983784;0.967842;0.959982;0.637992606549215;265.058138;52.808610;5.280861;0.428378;1786.662241;4.828817;120.457540;14.952895;5.467837;0.000000;-27.182340;213.697279;396.544370;473.635993;706.732679;698.119590
49662;31.07.2000;49662_00__1;2000;213;31.07.2000;false;2.000220;271;02.10.1999;275;28.06.2000;180;NULL;NULL;31.07.2000;213;31.07.2000;13.493492;12.045754;1.944435;6.447828;18.316285;6.724831;1.800000;1.800000;427.700000;3686.010000;14.826257;5.854749;0.754142;0.984886;0.988827;0.986667;0.982727;0.6551267976529396;235.385833;47.188831;5.280861;0.428378;1941.139704;5.422178;120.457540;10.398424;1.130020;0.000000;-36.420184;144.117719;366.006660;444.839398;644.288219;646.507038
49662;06.08.2001;49662_00__1;2001;218;06.08.2001;false;2.009220;271;01.10.2000;275;08.07.2001;189;NULL;NULL;06.08.2001;218;06.08.2001;13.493492;12.045754;4.087467;9.293962;22.918512;6.720067;1.800000;1.800000;515.700000;3995.281000;14.355526;5.715364;0.786625;0.973703;0.989218;0.977059;0.962278;0.5009092476189747;256.948144;51.395799;5.139580;0.428378;2592.780041;6.988625;120.457540;7.789984;0.186163;0.000000;-36.802444;107.931937;438.299237;529.030598;693.365687;690.101927
49662;01.08.2002;49662_00__1;2002;213;01.08.2002;false;2.016240;271;03.10.2001;276;02.07.2002;183;NULL;NULL;01.08.2002;213;01.08.2002;13.493492;12.045754;5.867957;11.064451;24.538932;6.611981;1.800000;1.800000;696.900000;3571.759000;14.058056;6.183056;0.838889;0.960412;0.986111;0.982316;0.956617;0.5688000067371628;258.443738;49.358112;5.139580;0.428378;3211.295531;8.920265;120.457540;9.985944;0.888718;0.000000;-35.169167;138.949778;488.020222;565.034132;632.590919;621.087787
49662;12.08.2003;49662_00__1;2003;224;12.08.2003;false;2.025420;271;04.10.2002;277;18.07.2003;199;NULL;NULL;12.08.2003;224;12.08.2003;13.493492;12.045754;0.939098;5.867957;15.042760;6.143878;1.800000;1.800000;553.400000;4477.598000;14.511436;4.943085;0.693495;0.965680;0.984043;0.983991;0.965680;0.6436322410643305;219.097767;44.206520;4.935811;0.428378;945.559418;2.514786;120.457540;13.942333;4.434374;0.000000;-27.421687;198.961876;330.989084;425.279059;775.102894;796.544766
49662;20.08.2004;49662_00__1;2004;233;20.08.2004;false;2.037930;271;04.10.2003;277;23.07.2004;205;NULL;NULL;20.08.2004;233;20.08.2004;13.493492;12.045754;3.811033;9.310479;23.519160;6.749494;1.800000;1.800000;536.600000;4095.409000;14.089305;4.908021;0.795472;0.966584;0.983957;0.965871;0.948722;0.6894697797408605;274.360059;52.596388;5.259639;0.428378;1368.800650;3.659895;120.457540;11.007823;1.716101;0.000000;-31.861997;155.401930;443.239842;518.960825;700.929234;694.983109
49662;14.08.2005;49662_00__1;2005;226;14.08.2005;false;2.000310;271;03.10.2004;277;14.07.2005;195;NULL;NULL;14.08.2005;226;14.08.2005;13.493492;12.045754;4.716141;9.425579;21.618920;6.950339;1.800000;1.800000;515.900000;3873.371000;13.669916;4.875766;0.829361;0.965265;0.983287;0.977934;0.959912;0.6841184748785336;242.172655;47.832052;5.259639;0.428378;1986.925736;5.534612;120.457540;8.574951;0.360142;0.000000;-36.864962;120.062841;445.302296;518.883411;664.627850;652.974145
49662;14.08.2006;49662_00__1;2006;226;14.08.2006;false;2.022000;271;04.10.2005;277;18.07.2006;199;NULL;NULL;14.08.2006;226;14.08.2006;13.493492;12.045754;1.079954;6.303545;19.839709;6.627089;1.800000;1.800000;417.100000;4230.486000;14.045479;4.567397;0.762346;0.973492;0.983562;0.958278;0.948913;0.5477528220974666;276.162803;55.725288;5.572529;0.428378;2741.933209;7.512146;120.457540;7.369831;0.114251;0.000000;-36.556783;101.900479;409.427395;484.073809;740.441249;741.643436
49662;08.07.2007;49662_00__1;2007;189;08.07.2007;false;2.008950;271;02.10.2006;275;08.06.2007;159;NULL;NULL;08.07.2007;189;08.07.2007;13.493492;12.045754;5.896406;10.424404;22.126524;5.715406;1.800000;1.800000;527.600000;3450.728000;15.658841;6.575915;0.847476;0.948264;0.987805;0.987805;0.948264;0.5099226014338514;221.750359;42.018793;5.572529;0.428378;2738.608960;8.349418;120.457540;9.081976;0.376216;0.000000;-39.103766;127.483564;467.778167;530.787061;604.789462;602.076488
49662;03.08.2008;49662_00__1;2008;216;03.08.2008;false;2.013450;271;03.10.2007;276;05.07.2008;187;NULL;NULL;03.08.2008;216;03.08.2008;13.493492;12.045754;3.593146;8.702783;22.053880;6.357412;1.800000;1.800000;705.200000;4555.624000;15.086990;6.285714;0.715879;0.966447;0.987245;0.976921;0.957865;0.7013616175968622;249.548224;50.771075;5.077108;0.428378;1667.277104;4.253258;120.457540;13.026298;1.111868;0.000000;-34.048232;181.117960;423.341985;549.184422;796.708124;809.513352
